FlightID,Airline,FlightNumber,ScheduledDeparture,DepartureDelay,ArrivalDelay,Cancelled,CancellationReason,OriginAirport,DestinationAirport
FL1068,Singapore Airlines,FN2341,2023-07-24 15:20:55,-13.497598770087112,-13.328521516666665,0,Crew,JFK,LHR
FL1069,SpiceJet,FN1659,2023-12-18 08:09:49,34.40551652109009,20.942551766666668,1,,DEL,SIN
FL1070,Air France,FN2874,2023-05-04 04:35:44,16.823798038123883,41.43093935,0,,HYD,HYD
FL1071,Turkish Airlines,FN2876,2022-12-10 22:03:35,-38.22449703683682,-30.454989166666667,0,Weather,HYD,JFK
FL1072,American Airlines,FN4249,2025-03-25 13:39:52,17.796483827452704,34.5238269,0,,MAA,BOM
FL1073,Turkish Airlines,FN2983,2025-11-28 10:58:49,-27.108521326342455,-41.91537051666667,0,,FRA,SIN
FL1074,KLM,FN6590,2024-01-29 02:30:38,25.65824696850693,35.113017066666664,0,,HKG,DEL
FL1075,AirAsia,FN8135,2025-07-25 16:44:18,17.514785510376296,27.71150865,1,Weather,DXB,JFK
FL1076,Lufthansa,FN8136,2025-01-07 17:36:12,-10.400741647354725,-1.9169361833333334,0,,SIN,LAX
FL1077,Lufthansa,FN4995,2022-06-27 10:09:19,18.79217419896044,13.076902933333335,0,Crew,MAA,LHR
FL1078,GoAir,FN8988,2024-10-09 11:50:00,65.97323533434269,78.08072915,0,Weather,FRA,FRA
FL1079,ANA,FN1166,2025-05-05 10:03:31,-25.739104916079455,-10.890800783333333,0,,LHR,HKG
FL1080,Air France,FN9041,2025-02-11 08:44:59,-19.240450106819644,-2.43418105,0,Crew,HYD,BOM
FL1081,Cathay Pacific,FN7046,2025-11-17 08:51:30,44.75786737022212,37.4476326,0,Crew,HKG,DEL
FL1082,United Airlines,FN8434,2025-02-01 12:02:37,38.901283877329654,50.09299778333333,1,Technical,LAX,LAX
FL1083,ANA,FN4033,2023-10-09 04:21:10,34.6618047998347,68.11369953333333,0,Weather,MAA,MAA
FL1084,Cathay Pacific,FN2647,2024-12-10 21:43:42,2.638356519913885,-3.66768595,0,Weather,HYD,SIN
FL1085,AirAsia,FN5494,2025-12-21 19:26:50,-16.6854328887657,-23.922587166666666,0,,MAA,HYD
FL1086,Vistara,FN1200,2025-07-30 17:52:20,7.686948717576874,17.804228333333334,0,,DEL,LAX
FL1087,Air France,FN2869,2022-04-16 09:11:32,18.30072397990057,35.70847271666666,0,,MAA,JFK
FL1088,AirAsia,FN5978,2022-04-20 05:31:27,10.390056756337211,37.19306791666667,0,,DXB,JFK
FL1089,Qatar Airways,FN9561,2025-05-05 22:30:57,2.0602950028613174,47.862832499999996,0,Crew,HYD,BOM
FL1090,Japan Airlines,FN1986,2024-05-28 11:07:06,28.770020432950187,20.912657083333333,0,,JFK,JFK
FL1091,GoAir,FN4929,2023-06-26 02:57:21,-22.126774941833368,-9.889688716666665,0,Weather,SIN,BOM
FL1092,Air France,FN5771,2025-11-12 21:37:12,3.2961164402244734,19.006123849999998,0,,LAX,BOM
FL1093,Qatar Airways,FN5334,2024-07-18 02:35:29,24.197128737206345,28.10469505,0,,HYD,MAA
FL1094,AirAsia,FN5352,2023-04-06 23:34:46,-15.40381154205215,-33.126519916666666,0,Weather,CDG,HKG
FL1095,Lufthansa,FN3037,2025-03-11 10:30:28,-3.395448562010632,14.45053335,0,Crew,BOM,DEL
FL1096,Air France,FN8172,2024-10-21 19:39:36,16.42281232390612,2.7367306499999997,0,,SIN,MAA
FL1097,SpiceJet,FN4750,2023-05-28 00:56:30,15.19542777553546,25.97518846666667,0,,FRA,DEL
FL1098,GoAir,FN8708,2025-03-26 01:27:53,-16.51572308603399,-9.2098465,0,,FRA,DEL
FL1099,Air France,FN2494,2024-06-11 23:06:42,11.746261553379997,-0.39829291666666666,1,Crew,CDG,JFK
FL1100,British Airways,FN9117,2022-11-26 12:00:28,20.7336208104485,34.1453887,0,Technical,LHR,DXB
FL1101,Delta Airlines,FN5135,2024-07-20 03:12:22,42.49153729525831,63.29856808333333,0,Technical,CDG,DXB
FL1102,ANA,FN8569,2022-01-03 23:56:40,-31.330081038712734,-40.397456633333334,0,Crew,BOM,HKG
FL1103,Lufthansa,FN1845,2024-10-17 22:46:13,25.451058016259793,38.15784728333333,0,Weather,DEL,HYD
FL1104,Vistara,FN1472,2025-12-01 17:38:52,25.451430589181438,88.24240295,0,,MAA,LAX
FL1105,British Airways,FN2527,2022-01-29 20:06:24,27.12671532079501,49.16019991666667,0,Weather,HKG,HYD
FL1106,KLM,FN5479,2024-10-17 10:37:34,38.62005290479607,53.39092166666667,0,Crew,BOM,JFK
FL1107,Turkish Airlines,FN9327,2024-02-25 06:56:23,0.5419226607896324,16.926460966666667,0,Weather,JFK,JFK
FL1108,Singapore Airlines,FN1042,2023-11-28 18:29:10,-13.184756436127152,-11.737035533333334,0,Technical,BOM,MAA
FL1109,AirAsia,FN8316,2025-09-13 17:49:38,-4.560906434873104,1.6672056499999999,0,,SIN,MAA
FL1110,Delta Airlines,FN4090,2024-02-12 16:34:42,79.43975700020526,56.43077911666667,0,Weather,JFK,LHR
FL1111,Air France,FN7246,2022-03-31 11:35:04,30.587805711235404,11.39706765,0,Crew,FRA,DXB
FL1112,AirAsia,FN9229,2024-10-11 01:20:52,-4.157955973683004,17.176302983333336,1,,CDG,HKG
FL1113,Air India,FN3361,2024-12-13 16:38:10,11.928400572863882,0.7622289,0,Crew,LHR,BOM
FL1114,Turkish Airlines,FN7512,2023-06-27 12:19:35,-11.459111277799046,3.73485495,0,,CDG,BLR
FL1115,Air France,FN9864,2023-10-11 22:49:15,-11.910998951514099,-3.6641201,0,,LHR,CDG
FL1116,SpiceJet,FN8110,2023-08-12 08:16:57,11.367155197114414,6.593149983333333,0,,FRA,BOM
FL1117,Air India,FN1753,2022-12-07 10:54:11,74.31832267975977,88.82710801666667,0,Technical,HKG,CDG
FL1118,KLM,FN7751,2022-10-26 08:53:27,-50.75427759972821,-42.95746288333333,0,,HKG,DEL
FL1119,Turkish Airlines,FN4945,2025-06-02 13:55:40,-9.853593943051639,7.932906083333333,0,Crew,CDG,HKG
FL1120,Air India,FN8622,2024-07-30 09:17:46,-13.775622152981018,-10.496668766666666,0,Technical,FRA,BLR
FL1121,Cathay Pacific,FN7951,2023-12-09 21:23:34,25.149618369413716,43.13594628333333,0,Technical,CDG,LAX
FL1122,American Airlines,FN6881,2022-08-07 08:38:11,-26.008892211673285,-26.02641075,0,,JFK,MAA
FL1123,Singapore Airlines,FN1132,2025-09-10 14:24:39,-4.2483593348286846,-9.048297816666667,1,,MAA,SIN
FL1124,Qatar Airways,FN6772,2024-10-14 10:25:12,62.963627208432904,74.03835286666667,0,Weather,CDG,HKG
FL1125,Vistara,FN1645,2025-09-12 04:58:47,-27.826518630051353,-9.058589416666667,0,Technical,CDG,HYD
FL1126,Cathay Pacific,FN6352,2022-09-27 03:16:53,73.664685910379,94.15166481666667,0,Crew,HKG,JFK
FL1127,KLM,FN5465,2024-01-20 19:19:39,-35.5810989786204,-37.84461006666667,0,Weather,BLR,HYD
FL1128,Lufthansa,FN2233,2023-11-25 04:11:35,48.00733447559868,42.392292483333335,0,Weather,MAA,JFK
FL1129,United Airlines,FN2479,2024-03-24 20:17:28,23.314582844386855,39.93409365,0,Crew,HKG,HYD
FL1130,Japan Airlines,FN7242,2025-10-09 09:32:42,-17.807914147342487,-13.700794483333334,0,Technical,DEL,MAA
FL1131,Turkish Airlines,FN4626,2025-02-23 11:56:32,-87.23802020207218,-97.60383481666666,0,,BOM,CDG
FL1132,IndiGo,FN1609,2022-08-27 05:05:20,2.422955458205191,-11.293792266666665,0,Technical,CDG,JFK
FL1133,Lufthansa,FN7078,2022-10-05 14:09:00,58.972339117949055,42.52021845,0,,JFK,BOM
FL1134,Vistara,FN9017,2024-04-29 23:50:41,-3.2013346009095134,3.7597740666666666,0,,DXB,FRA
FL1135,Qatar Airways,FN6942,2024-06-27 16:11:27,53.23819867198347,36.700266400000004,0,,DXB,MAA
FL1136,Emirates,FN3001,2024-03-26 10:02:40,44.89491256464879,50.04840848333333,0,Crew,CDG,LHR
FL1137,Delta Airlines,FN4990,2022-02-13 01:50:29,-19.445259531438527,-7.513707416666667,0,Weather,BOM,CDG
FL1138,Japan Airlines,FN4538,2025-02-09 07:32:32,15.971790867204101,11.968537716666667,0,Weather,HKG,FRA
FL1139,AirAsia,FN3129,2022-01-06 10:05:42,12.094062549700567,11.3143586,0,,LHR,HKG
FL1140,Air India,FN6869,2022-02-22 04:47:55,13.40552035753744,28.33748048333333,0,Weather,MAA,HKG
FL1141,KLM,FN2862,2022-09-17 15:19:36,57.58050448436056,44.013272,0,,FRA,LHR
FL1142,KLM,FN4629,2022-08-12 16:27:25,73.99100123968799,49.70968425,0,,JFK,JFK
FL1143,Air India,FN1996,2023-09-10 16:40:36,5.4464471489325,19.271205249999998,0,Crew,DEL,SIN
FL1144,SpiceJet,FN6277,2024-06-27 02:40:32,18.42975603205098,14.089263233333332,0,,DXB,DXB
FL1145,Delta Airlines,FN7240,2025-04-13 19:57:54,3.7563324892817436,1.3613184666666667,0,,BLR,BOM
FL1146,ANA,FN4522,2022-07-23 04:09:56,-7.680942708326345,10.063088749999999,0,Crew,LAX,MAA
FL1147,Vistara,FN6120,2024-03-27 15:08:44,20.71046457895142,15.31682065,0,Crew,JFK,HYD
FL1148,SpiceJet,FN2494,2025-11-07 17:16:03,36.98799626299752,46.597489083333336,1,,LHR,CDG
FL1149,IndiGo,FN6400,2022-09-24 20:15:24,34.385863565168805,48.8302962,0,,BOM,DXB
FL1150,Cathay Pacific,FN6119,2024-05-16 01:52:23,-14.869850327662167,-18.272565933333333,0,Technical,DXB,LHR
FL1151,Vistara,FN6736,2024-09-14 08:09:52,32.41880815369785,46.57436213333334,0,,BOM,FRA
FL1152,Turkish Airlines,FN1430,2024-05-28 20:25:26,9.372952181075556,16.13286293333333,0,,LHR,BOM
FL1153,Delta Airlines,FN6751,2025-12-10 11:14:59,48.329946873652744,44.45637603333333,0,,CDG,SIN
FL1154,Air India,FN2503,2022-10-18 23:03:11,26.412921435101136,28.38003165,0,,BLR,BLR
FL1155,Delta Airlines,FN2391,2024-01-28 11:20:46,3.469563903183391,24.95121668333333,0,,HYD,DXB
FL1156,Lufthansa,FN7947,2022-06-17 09:54:25,34.762490469640895,51.965135016666665,0,Crew,BLR,BLR
FL1157,United Airlines,FN8043,2024-11-15 04:08:38,49.16436421462987,54.47942183333334,0,,FRA,JFK
FL1158,IndiGo,FN4612,2025-09-28 11:13:45,30.458589138848918,30.804587783333332,0,Crew,MAA,CDG
FL1159,Singapore Airlines,FN5742,2023-03-09 04:59:47,19.724990574653262,22.772844766666665,0,Technical,FRA,DEL
FL1160,ANA,FN4770,2022-09-22 13:50:34,12.909878949781547,26.837234333333335,0,,BOM,DEL
FL1161,Air India,FN8532,2022-03-28 15:52:56,-14.546620497004177,21.839188633333332,0,,LAX,CDG
FL1162,Cathay Pacific,FN2887,2025-08-04 15:12:27,-20.180521444991058,-33.393350633333334,0,Crew,LHR,FRA
FL1163,SpiceJet,FN8155,2024-07-31 13:10:28,44.743326205002035,61.618266616666666,0,,DEL,LHR
FL1164,Delta Airlines,FN4630,2024-03-21 11:17:48,28.723594511564656,43.14877715,0,Technical,HYD,DXB
FL1165,Emirates,FN6724,2024-12-22 18:34:00,9.632596814592562,1.17378125,0,Technical,HKG,BLR
FL1166,Emirates,FN3842,2022-10-27 09:19:10,12.27413674581179,7.116711066666666,0,,SIN,CDG
FL1167,Lufthansa,FN8354,2025-07-10 17:59:24,39.253592002532535,42.04773128333333,0,,BLR,HKG
FL1168,AirAsia,FN8205,2025-07-08 11:30:36,-14.764915903775346,-14.585703533333334,0,,CDG,CDG
FL1169,United Airlines,FN9312,2025-04-26 02:02:42,22.38794362826873,18.932075333333334,0,,JFK,JFK
FL1170,SpiceJet,FN9307,2023-08-11 02:47:37,-14.666611866992945,-6.0113037,0,Crew,MAA,JFK
FL1171,Japan Airlines,FN4084,2022-03-26 16:22:27,17.348997133261683,14.744849499999999,0,Technical,JFK,FRA
FL1172,Delta Airlines,FN2381,2024-07-11 03:46:06,-4.131149168549683,4.3495999,1,,FRA,JFK
FL1173,KLM,FN3600,2024-06-18 19:04:50,-33.44253024491972,-49.55448686666667,0,Technical,CDG,BLR
FL1174,IndiGo,FN6482,2025-10-22 21:46:06,-11.553326637573079,-9.755033916666667,0,,LHR,MAA
FL1175,Turkish Airlines,FN3463,2023-06-01 23:54:17,19.32722696794014,46.45757021666667,0,Technical,LHR,BOM
FL1176,American Airlines,FN3112,2023-09-28 23:53:10,35.72978869606058,38.33071075,0,,BOM,FRA
FL1177,KLM,FN2531,2023-11-04 04:39:10,9.429513762919335,-0.6084267000000001,0,Crew,SIN,BOM
FL1178,Air France,FN4145,2023-03-15 12:26:31,9.444605920228302,10.114726333333333,0,Weather,LAX,LHR
FL1179,ANA,FN9626,2022-07-27 18:29:03,19.681556810142684,12.273092649999999,0,,BLR,BLR
FL1180,AirAsia,FN3658,2025-05-08 13:42:57,25.580395427235167,53.571479116666666,0,Weather,CDG,LHR
FL1181,British Airways,FN6968,2024-06-15 01:35:26,6.737195546294272,17.762871383333334,0,Weather,SIN,HKG
FL1182,ANA,FN4918,2024-07-08 08:31:11,30.704319751333376,29.686012666666667,0,Technical,JFK,FRA
FL1183,Lufthansa,FN8564,2025-10-21 20:46:06,16.722774454312503,21.911660466666667,0,Technical,HKG,HKG
FL1184,Turkish Airlines,FN3267,2022-11-28 07:16:14,12.930282956464952,6.3351362,0,Technical,HKG,DXB
FL1185,Vistara,FN5670,2022-07-30 18:47:01,10.735305227768281,23.205279599999997,0,,DEL,CDG
FL1186,SpiceJet,FN4637,2022-10-29 15:55:40,53.53430823385125,72.92337063333333,0,Crew,HKG,BLR
FL1187,American Airlines,FN2337,2024-02-05 08:35:03,74.5954737253467,68.08526028333333,0,Technical,LHR,DEL
FL1188,AirAsia,FN3254,2025-08-24 12:12:27,36.16961910162034,43.91974918333334,0,,HYD,DEL
FL1189,Lufthansa,FN1086,2025-12-15 17:04:47,75.69408799653017,68.56961371666667,0,,MAA,JFK
FL1190,British Airways,FN2821,2025-05-31 19:12:56,-15.191655265423282,-19.18254495,0,Technical,DEL,MAA
FL1191,Lufthansa,FN2029,2025-08-01 22:40:33,-53.716871729294205,-56.60319705,0,,HYD,MAA
FL1192,AirAsia,FN5772,2025-03-23 08:48:31,-12.773979846610938,-5.51807305,0,Crew,JFK,FRA
FL1193,KLM,FN6908,2023-01-19 03:07:01,20.252679273314783,53.395241866666666,0,,DEL,FRA
FL1194,American Airlines,FN8702,2025-02-08 00:44:25,38.51271514558151,34.85916031666667,1,,LAX,LAX
FL1195,United Airlines,FN4950,2024-01-02 02:27:35,-16.95244014045074,-4.5736525666666665,0,,CDG,DXB
FL1196,ANA,FN6546,2022-04-01 12:49:36,-29.606996210619265,2.8648852833333334,0,Weather,HKG,FRA
FL1197,SpiceJet,FN8498,2023-01-09 04:54:35,45.38320362163861,43.34556883333333,0,,HKG,CDG
FL1198,Cathay Pacific,FN9444,2022-03-27 11:29:25,-41.39403587272633,-16.085950266666668,0,Crew,MAA,HYD
FL1199,United Airlines,FN1783,2023-01-27 10:25:01,6.563804642421463,30.13104931666667,0,Technical,LAX,JFK
FL1200,American Airlines,FN6554,2024-03-30 16:00:37,-37.832829763831015,-41.823455100000004,0,Weather,MAA,BOM
FL1201,SpiceJet,FN7955,2024-11-29 09:42:39,10.157310991545495,15.8620199,0,,JFK,SIN
FL1202,SpiceJet,FN6372,2023-10-20 03:44:07,-3.5019641443773093,10.840784833333334,0,Technical,DXB,FRA
FL1203,United Airlines,FN8325,2025-11-13 16:09:43,-22.028612881477834,-19.16430515,0,,MAA,JFK
FL1204,American Airlines,FN6952,2022-04-28 02:43:55,13.608868951356966,26.325451466666667,0,,SIN,LHR
FL1205,Lufthansa,FN1570,2022-10-20 22:07:15,31.348446342666694,19.47881496666667,1,Weather,HKG,SIN
FL1206,IndiGo,FN3513,2024-02-24 20:39:09,-36.023425122068666,-11.8582728,0,Crew,BOM,HYD
FL1207,United Airlines,FN7521,2022-10-09 19:16:37,19.969420359387748,13.742122316666666,0,Technical,LHR,LHR
FL1208,KLM,FN7340,2023-01-17 18:10:10,56.53455926567569,63.26967878333333,0,,CDG,MAA
FL1209,Cathay Pacific,FN9047,2023-03-16 22:16:39,45.37891552191479,51.39169275,0,Weather,BOM,MAA
FL1210,SpiceJet,FN6236,2025-12-31 16:12:21,71.82243774645961,103.15255038333333,0,Technical,BOM,BLR
FL1211,GoAir,FN6922,2023-09-07 05:44:04,2.531075545627795,22.10463981666667,0,,SIN,BOM
FL1212,United Airlines,FN7044,2024-10-08 00:57:25,29.361278487554426,54.89075185,0,Crew,HYD,BOM
FL1213,American Airlines,FN8842,2022-05-15 11:15:39,-18.947703817403134,-3.6569319166666667,0,,HKG,LAX
FL1214,SpiceJet,FN8372,2022-09-14 11:32:33,41.75273460548763,20.371642316666666,0,Crew,DXB,HKG
FL1215,Japan Airlines,FN3981,2025-02-03 23:17:39,-25.497755379973256,-51.08623805,0,Weather,CDG,LAX
FL1216,Cathay Pacific,FN3697,2024-11-27 05:34:16,1.9177949666632674,17.6809288,0,Weather,DXB,LAX
FL1217,SpiceJet,FN5105,2024-11-28 10:20:30,55.070711562880845,61.18213326666667,0,Weather,LHR,SIN
FL1218,SpiceJet,FN9234,2025-06-12 19:25:24,58.85846636713875,43.1569445,0,Weather,CDG,LAX
FL1219,Japan Airlines,FN1674,2025-05-24 12:17:32,-41.10147318065464,-36.934688666666666,0,,FRA,FRA
FL1220,Japan Airlines,FN7825,2025-08-26 07:40:31,21.521963468179216,26.031542249999998,0,,BOM,DEL
FL1221,Air France,FN5012,2025-08-07 10:59:56,-52.0232630011963,-48.3600636,0,Crew,CDG,DEL
FL1222,Air France,FN8609,2024-06-19 15:07:56,-29.134085015145594,-14.088996783333332,0,Weather,MAA,JFK
FL1223,American Airlines,FN3142,2023-10-16 12:34:28,20.997947382905448,11.899750583333335,0,Technical,LHR,FRA
FL1224,Lufthansa,FN5061,2022-09-08 09:44:18,-5.4160075201008056,-16.304210349999998,0,Weather,LAX,LAX
FL1225,GoAir,FN6364,2024-05-06 09:02:21,8.119627081804843,27.446761883333334,0,,BOM,DEL
FL1226,Air France,FN6055,2024-11-20 16:59:46,-19.571781390066313,-7.01108365,0,Crew,SIN,LHR
FL1227,Japan Airlines,FN6781,2023-05-09 07:49:59,-5.907728551173223,-12.800821033333333,0,,DEL,BOM
FL1228,Cathay Pacific,FN9793,2025-09-01 17:08:00,6.789089201363265,-3.7395456333333335,0,,DEL,MAA
FL1229,IndiGo,FN7563,2024-04-05 13:19:24,-6.609479160415461,-19.57764755,0,,BOM,DXB
FL1230,KLM,FN8378,2022-05-31 14:03:59,68.94175398749168,74.47070726666668,0,,FRA,LAX
FL1231,United Airlines,FN6555,2022-07-18 14:20:29,-10.991765239777568,-2.782066583333333,0,,MAA,FRA
FL1232,IndiGo,FN1742,2024-04-02 18:12:26,6.630158509275105,8.315614516666667,0,,LHR,HKG
FL1233,Turkish Airlines,FN9446,2024-07-24 05:25:21,28.425001001302757,44.787616650000004,0,Weather,BLR,SIN
FL1234,Japan Airlines,FN6511,2025-06-16 10:53:41,-5.915034428315824,-9.552308033333333,0,,LHR,FRA
FL1235,United Airlines,FN6427,2024-08-30 00:36:20,1.7484490854506802,-27.780368383333332,0,,LAX,LAX
FL1236,Air India,FN8775,2025-11-10 22:54:38,-35.455731865956565,-9.95261785,0,Technical,DXB,FRA
FL1237,Air France,FN3793,2022-04-16 21:14:43,59.34903140503851,60.61349081666666,0,,CDG,HKG
