AirportID,IATA_CODE,AirportName,City,Country
AP978,HKG,Hong Kong International,Hong Kong,China
AP908,DEL,Indira Gandhi International,New Delhi,India
AP621,BOM,Chhatrapati Shivaji,Mumbai,India
AP439,BLR,Kempegowda International,Bengaluru,India
AP558,HYD,Rajiv Gandhi International,Hyderabad,India
AP489,MAA,Chennai International,Chennai,India
AP272,LHR,Heathrow,London,UK
AP777,DXB,Dubai International,Dubai,UAE
AP989,JFK,John F. Kennedy International,New York,USA
AP316,LAX,Los Angeles International,Los Angeles,USA
AP494,FRA,Frankfurt International,Frankfurt,Germany
AP274,CDG,Charles de Gaulle,Paris,France
AP342,SIN,Changi International,Singapore,Singapore
AP689,HKG,Hong Kong International,Hong Kong,China
AP184,DEL,Indira Gandhi International,New Delhi,India
AP519,BOM,Chhatrapati Shivaji,Mumbai,India
AP833,BLR,Kempegowda International,Bengaluru,India
AP207,HYD,Rajiv Gandhi International,Hyderabad,India
AP900,MAA,Chennai International,Chennai,India
AP355,LHR,Heathrow,London,UK
AP860,DXB,Dubai International,Dubai,UAE
AP447,JFK,John F. Kennedy International,New York,USA
AP918,LAX,Los Angeles International,Los Angeles,USA
AP102,FRA,Frankfurt International,Frankfurt,Germany
AP246,CDG,Charles de Gaulle,Paris,France
AP417,SIN,Changi International,Singapore,Singapore
AP646,HKG,Hong Kong International,Hong Kong,China
AP982,DEL,Indira Gandhi International,New Delhi,India
AP778,BOM,Chhatrapati Shivaji,Mumbai,India
AP844,BLR,Kempegowda International,Bengaluru,India
AP929,HYD,Rajiv Gandhi International,Hyderabad,India
AP451,MAA,Chennai International,Chennai,India
AP987,LHR,Heathrow,London,UK
AP425,DXB,Dubai International,Dubai,UAE
AP900,JFK,John F. Kennedy International,New York,USA
AP874,LAX,Los Angeles International,Los Angeles,USA
AP280,FRA,Frankfurt International,Frankfurt,Germany
AP444,CDG,Charles de Gaulle,Paris,France
AP500,SIN,Changi International,Singapore,Singapore
AP626,HKG,Hong Kong International,Hong Kong,China
AP556,DEL,Indira Gandhi International,New Delhi,India
AP808,BOM,Chhatrapati Shivaji,Mumbai,India
AP918,BLR,Kempegowda International,Bengaluru,India
AP742,HYD,Rajiv Gandhi International,Hyderabad,India
AP152,MAA,Chennai International,Chennai,India
AP637,LHR,Heathrow,London,UK
AP648,DXB,Dubai International,Dubai,UAE
AP141,JFK,John F. Kennedy International,New York,USA
AP501,LAX,Los Angeles International,Los Angeles,USA
AP812,FRA,Frankfurt International,Frankfurt,Germany
AP948,CDG,Charles de Gaulle,Paris,France
AP311,SIN,Changi International,Singapore,Singapore
AP458,HKG,Hong Kong International,Hong Kong,China
AP973,DEL,Indira Gandhi International,New Delhi,India
AP958,BOM,Chhatrapati Shivaji,Mumbai,India
AP591,BLR,Kempegowda International,Bengaluru,India
AP903,HYD,Rajiv Gandhi International,Hyderabad,India
AP245,MAA,Chennai International,Chennai,India
AP915,LHR,Heathrow,London,UK
AP693,DXB,Dubai International,Dubai,UAE
AP615,JFK,John F. Kennedy International,New York,USA
AP941,LAX,Los Angeles International,Los Angeles,USA
AP742,FRA,Frankfurt International,Frankfurt,Germany
AP712,CDG,Charles de Gaulle,Paris,France
AP662,SIN,Changi International,Singapore,Singapore
AP250,HKG,Hong Kong International,Hong Kong,China
AP144,DEL,Indira Gandhi International,New Delhi,India
AP913,BOM,Chhatrapati Shivaji,Mumbai,India
AP453,BLR,Kempegowda International,Bengaluru,India
AP412,HYD,Rajiv Gandhi International,Hyderabad,India
AP195,MAA,Chennai International,Chennai,India
AP345,LHR,Heathrow,London,UK
AP579,DXB,Dubai International,Dubai,UAE
AP979,JFK,John F. Kennedy International,New York,USA
AP854,LAX,Los Angeles International,Los Angeles,USA
AP965,FRA,Frankfurt International,Frankfurt,Germany
AP276,CDG,Charles de Gaulle,Paris,France
AP659,SIN,Changi International,Singapore,Singapore
AP282,HKG,Hong Kong International,Hong Kong,China
AP729,DEL,Indira Gandhi International,New Delhi,India
AP198,BOM,Chhatrapati Shivaji,Mumbai,India
AP281,BLR,Kempegowda International,Bengaluru,India
AP549,HYD,Rajiv Gandhi International,Hyderabad,India
AP185,MAA,Chennai International,Chennai,India
AP509,LHR,Heathrow,London,UK
AP390,DXB,Dubai International,Dubai,UAE
AP337,JFK,John F. Kennedy International,New York,USA
AP213,LAX,Los Angeles International,Los Angeles,USA
AP742,FRA,Frankfurt International,Frankfurt,Germany
AP511,CDG,Charles de Gaulle,Paris,France
AP735,SIN,Changi International,Singapore,Singapore
AP442,HKG,Hong Kong International,Hong Kong,China
AP926,DEL,Indira Gandhi International,New Delhi,India
AP758,BOM,Chhatrapati Shivaji,Mumbai,India
AP661,BLR,Kempegowda International,Bengaluru,India
AP160,HYD,Rajiv Gandhi International,Hyderabad,India
AP161,MAA,Chennai International,Chennai,India
AP902,LHR,Heathrow,London,UK
AP520,DXB,Dubai International,Dubai,UAE
AP634,JFK,John F. Kennedy International,New York,USA
AP371,LAX,Los Angeles International,Los Angeles,USA
AP176,FRA,Frankfurt International,Frankfurt,Germany
AP878,CDG,Charles de Gaulle,Paris,France
AP800,SIN,Changi International,Singapore,Singapore
AP178,HKG,Hong Kong International,Hong Kong,China
AP924,DEL,Indira Gandhi International,New Delhi,India
AP988,BOM,Chhatrapati Shivaji,Mumbai,India
AP537,BLR,Kempegowda International,Bengaluru,India
AP134,HYD,Rajiv Gandhi International,Hyderabad,India
AP993,MAA,Chennai International,Chennai,India
AP268,LHR,Heathrow,London,UK
AP744,DXB,Dubai International,Dubai,UAE
AP155,JFK,John F. Kennedy International,New York,USA
AP982,LAX,Los Angeles International,Los Angeles,USA
AP977,FRA,Frankfurt International,Frankfurt,Germany
AP861,CDG,Charles de Gaulle,Paris,France
AP164,SIN,Changi International,Singapore,Singapore
AP272,HKG,Hong Kong International,Hong Kong,China
AP248,DEL,Indira Gandhi International,New Delhi,India
AP989,BOM,Chhatrapati Shivaji,Mumbai,India
AP208,BLR,Kempegowda International,Bengaluru,India
AP874,HYD,Rajiv Gandhi International,Hyderabad,India
AP240,MAA,Chennai International,Chennai,India
AP463,LHR,Heathrow,London,UK
AP652,DXB,Dubai International,Dubai,UAE
AP902,JFK,John F. Kennedy International,New York,USA
AP415,LAX,Los Angeles International,Los Angeles,USA
AP904,FRA,Frankfurt International,Frankfurt,Germany
AP916,CDG,Charles de Gaulle,Paris,France
AP602,SIN,Changi International,Singapore,Singapore
AP885,HKG,Hong Kong International,Hong Kong,China
AP256,DEL,Indira Gandhi International,New Delhi,India
AP342,BOM,Chhatrapati Shivaji,Mumbai,India
AP636,BLR,Kempegowda International,Bengaluru,India
AP571,HYD,Rajiv Gandhi International,Hyderabad,India
AP931,MAA,Chennai International,Chennai,India
AP418,LHR,Heathrow,London,UK
AP627,DXB,Dubai International,Dubai,UAE
AP984,JFK,John F. Kennedy International,New York,USA
AP392,LAX,Los Angeles International,Los Angeles,USA
AP618,FRA,Frankfurt International,Frankfurt,Germany
AP684,CDG,Charles de Gaulle,Paris,France
AP811,SIN,Changi International,Singapore,Singapore
AP332,HKG,Hong Kong International,Hong Kong,China
AP880,DEL,Indira Gandhi International,New Delhi,India
AP762,BOM,Chhatrapati Shivaji,Mumbai,India
AP518,BLR,Kempegowda International,Bengaluru,India
AP684,HYD,Rajiv Gandhi International,Hyderabad,India
AP618,MAA,Chennai International,Chennai,India
AP115,LHR,Heathrow,London,UK
AP819,DXB,Dubai International,Dubai,UAE
AP231,JFK,John F. Kennedy International,New York,USA
AP270,LAX,Los Angeles International,Los Angeles,USA
AP444,FRA,Frankfurt International,Frankfurt,Germany
AP147,CDG,Charles de Gaulle,Paris,France
AP676,SIN,Changi International,Singapore,Singapore
AP207,HKG,Hong Kong International,Hong Kong,China
AP322,DEL,Indira Gandhi International,New Delhi,India
AP482,BOM,Chhatrapati Shivaji,Mumbai,India
AP776,BLR,Kempegowda International,Bengaluru,India
AP850,HYD,Rajiv Gandhi International,Hyderabad,India
AP578,MAA,Chennai International,Chennai,India
AP823,LHR,Heathrow,London,UK
AP775,DXB,Dubai International,Dubai,UAE
AP675,JFK,John F. Kennedy International,New York,USA
AP898,LAX,Los Angeles International,Los Angeles,USA
AP193,FRA,Frankfurt International,Frankfurt,Germany
AP320,CDG,Charles de Gaulle,Paris,France
AP581,SIN,Changi International,Singapore,Singapore
AP813,HKG,Hong Kong International,Hong Kong,China
AP373,DEL,Indira Gandhi International,New Delhi,India
AP285,BOM,Chhatrapati Shivaji,Mumbai,India
AP926,BLR,Kempegowda International,Bengaluru,India
AP945,HYD,Rajiv Gandhi International,Hyderabad,India
AP208,MAA,Chennai International,Chennai,India
AP411,LHR,Heathrow,London,UK
AP906,DXB,Dubai International,Dubai,UAE
AP180,JFK,John F. Kennedy International,New York,USA
AP424,LAX,Los Angeles International,Los Angeles,USA
AP868,FRA,Frankfurt International,Frankfurt,Germany
AP581,CDG,Charles de Gaulle,Paris,France
AP123,SIN,Changi International,Singapore,Singapore
AP681,HKG,Hong Kong International,Hong Kong,China
AP718,DEL,Indira Gandhi International,New Delhi,India
AP483,BOM,Chhatrapati Shivaji,Mumbai,India
AP235,BLR,Kempegowda International,Bengaluru,India
AP983,HYD,Rajiv Gandhi International,Hyderabad,India
AP225,MAA,Chennai International,Chennai,India
AP162,LHR,Heathrow,London,UK
AP874,DXB,Dubai International,Dubai,UAE
AP372,JFK,John F. Kennedy International,New York,USA
AP513,LAX,Los Angeles International,Los Angeles,USA
AP917,FRA,Frankfurt International,Frankfurt,Germany
AP104,CDG,Charles de Gaulle,Paris,France
AP451,SIN,Changi International,Singapore,Singapore
AP736,HKG,Hong Kong International,Hong Kong,China
AP649,DEL,Indira Gandhi International,New Delhi,India
AP707,BOM,Chhatrapati Shivaji,Mumbai,India
AP679,BLR,Kempegowda International,Bengaluru,India
AP267,HYD,Rajiv Gandhi International,Hyderabad,India
AP514,MAA,Chennai International,Chennai,India
AP222,LHR,Heathrow,London,UK
AP213,DXB,Dubai International,Dubai,UAE
AP124,JFK,John F. Kennedy International,New York,USA
AP789,LAX,Los Angeles International,Los Angeles,USA
AP405,FRA,Frankfurt International,Frankfurt,Germany
AP949,CDG,Charles de Gaulle,Paris,France
AP397,SIN,Changi International,Singapore,Singapore
AP846,HKG,Hong Kong International,Hong Kong,China
AP597,DEL,Indira Gandhi International,New Delhi,India
AP861,BOM,Chhatrapati Shivaji,Mumbai,India
AP786,BLR,Kempegowda International,Bengaluru,India
AP522,HYD,Rajiv Gandhi International,Hyderabad,India
AP785,MAA,Chennai International,Chennai,India
AP817,LHR,Heathrow,London,UK
AP930,DXB,Dubai International,Dubai,UAE
AP933,JFK,John F. Kennedy International,New York,USA
AP211,LAX,Los Angeles International,Los Angeles,USA
AP819,FRA,Frankfurt International,Frankfurt,Germany
AP932,CDG,Charles de Gaulle,Paris,France
AP392,SIN,Changi International,Singapore,Singapore
AP686,HKG,Hong Kong International,Hong Kong,China
AP898,DEL,Indira Gandhi International,New Delhi,India
AP372,BOM,Chhatrapati Shivaji,Mumbai,India
AP304,BLR,Kempegowda International,Bengaluru,India
AP402,HYD,Rajiv Gandhi International,Hyderabad,India
AP113,MAA,Chennai International,Chennai,India
AP455,LHR,Heathrow,London,UK
AP163,DXB,Dubai International,Dubai,UAE
AP181,JFK,John F. Kennedy International,New York,USA
AP336,LAX,Los Angeles International,Los Angeles,USA
AP934,FRA,Frankfurt International,Frankfurt,Germany
AP890,CDG,Charles de Gaulle,Paris,France
AP889,SIN,Changi International,Singapore,Singapore
AP525,HKG,Hong Kong International,Hong Kong,China
AP612,DEL,Indira Gandhi International,New Delhi,India
AP203,BOM,Chhatrapati Shivaji,Mumbai,India
AP951,BLR,Kempegowda International,Bengaluru,India
AP717,HYD,Rajiv Gandhi International,Hyderabad,India
AP413,MAA,Chennai International,Chennai,India
AP976,LHR,Heathrow,London,UK
AP793,DXB,Dubai International,Dubai,UAE
AP885,JFK,John F. Kennedy International,New York,USA
AP777,LAX,Los Angeles International,Los Angeles,USA
AP479,FRA,Frankfurt International,Frankfurt,Germany
AP565,CDG,Charles de Gaulle,Paris,France
AP923,SIN,Changi International,Singapore,Singapore
AP422,HKG,Hong Kong International,Hong Kong,China
AP928,DEL,Indira Gandhi International,New Delhi,India
AP363,BOM,Chhatrapati Shivaji,Mumbai,India
AP819,BLR,Kempegowda International,Bengaluru,India
AP812,HYD,Rajiv Gandhi International,Hyderabad,India
AP471,MAA,Chennai International,Chennai,India
AP272,LHR,Heathrow,London,UK
AP325,DXB,Dubai International,Dubai,UAE
AP423,JFK,John F. Kennedy International,New York,USA
AP479,LAX,Los Angeles International,Los Angeles,USA
AP871,FRA,Frankfurt International,Frankfurt,Germany
AP624,CDG,Charles de Gaulle,Paris,France
AP716,SIN,Changi International,Singapore,Singapore
AP578,HKG,Hong Kong International,Hong Kong,China
AP228,DEL,Indira Gandhi International,New Delhi,India
AP696,BOM,Chhatrapati Shivaji,Mumbai,India
AP927,BLR,Kempegowda International,Bengaluru,India
AP423,HYD,Rajiv Gandhi International,Hyderabad,India
AP473,MAA,Chennai International,Chennai,India
AP103,LHR,Heathrow,London,UK
AP458,DXB,Dubai International,Dubai,UAE
AP939,JFK,John F. Kennedy International,New York,USA
AP473,LAX,Los Angeles International,Los Angeles,USA
AP250,FRA,Frankfurt International,Frankfurt,Germany
AP387,CDG,Charles de Gaulle,Paris,France
AP170,SIN,Changi International,Singapore,Singapore
AP201,HKG,Hong Kong International,Hong Kong,China
AP103,DEL,Indira Gandhi International,New Delhi,India
AP631,BOM,Chhatrapati Shivaji,Mumbai,India
AP598,BLR,Kempegowda International,Bengaluru,India
AP758,HYD,Rajiv Gandhi International,Hyderabad,India
AP986,MAA,Chennai International,Chennai,India
AP189,LHR,Heathrow,London,UK
AP432,DXB,Dubai International,Dubai,UAE
AP412,JFK,John F. Kennedy International,New York,USA
AP110,LAX,Los Angeles International,Los Angeles,USA
AP906,FRA,Frankfurt International,Frankfurt,Germany
AP951,CDG,Charles de Gaulle,Paris,France
AP726,SIN,Changi International,Singapore,Singapore
AP677,HKG,Hong Kong International,Hong Kong,China
AP273,DEL,Indira Gandhi International,New Delhi,India
AP276,BOM,Chhatrapati Shivaji,Mumbai,India
AP732,BLR,Kempegowda International,Bengaluru,India
AP801,HYD,Rajiv Gandhi International,Hyderabad,India
AP788,MAA,Chennai International,Chennai,India
AP299,LHR,Heathrow,London,UK
AP396,DXB,Dubai International,Dubai,UAE
AP519,JFK,John F. Kennedy International,New York,USA
AP508,LAX,Los Angeles International,Los Angeles,USA
AP271,FRA,Frankfurt International,Frankfurt,Germany
AP711,CDG,Charles de Gaulle,Paris,France
AP561,SIN,Changi International,Singapore,Singapore
AP263,HKG,Hong Kong International,Hong Kong,China
AP475,DEL,Indira Gandhi International,New Delhi,India
AP836,BOM,Chhatrapati Shivaji,Mumbai,India
AP401,BLR,Kempegowda International,Bengaluru,India
AP666,HYD,Rajiv Gandhi International,Hyderabad,India
AP329,MAA,Chennai International,Chennai,India
AP461,LHR,Heathrow,London,UK
AP381,DXB,Dubai International,Dubai,UAE
AP913,JFK,John F. Kennedy International,New York,USA
AP479,LAX,Los Angeles International,Los Angeles,USA
AP833,FRA,Frankfurt International,Frankfurt,Germany
AP719,CDG,Charles de Gaulle,Paris,France
AP706,SIN,Changi International,Singapore,Singapore
AP424,HKG,Hong Kong International,Hong Kong,China
AP565,DEL,Indira Gandhi International,New Delhi,India
AP291,BOM,Chhatrapati Shivaji,Mumbai,India
AP541,BLR,Kempegowda International,Bengaluru,India
AP312,HYD,Rajiv Gandhi International,Hyderabad,India
AP407,MAA,Chennai International,Chennai,India
AP631,LHR,Heathrow,London,UK
AP861,DXB,Dubai International,Dubai,UAE
AP483,JFK,John F. Kennedy International,New York,USA
AP931,LAX,Los Angeles International,Los Angeles,USA
AP947,FRA,Frankfurt International,Frankfurt,Germany
AP443,CDG,Charles de Gaulle,Paris,France
AP776,SIN,Changi International,Singapore,Singapore
AP108,HKG,Hong Kong International,Hong Kong,China
AP149,DEL,Indira Gandhi International,New Delhi,India
AP258,BOM,Chhatrapati Shivaji,Mumbai,India
AP355,BLR,Kempegowda International,Bengaluru,India
AP800,HYD,Rajiv Gandhi International,Hyderabad,India
AP904,MAA,Chennai International,Chennai,India
AP131,LHR,Heathrow,London,UK
AP723,DXB,Dubai International,Dubai,UAE
AP843,JFK,John F. Kennedy International,New York,USA
AP767,LAX,Los Angeles International,Los Angeles,USA
AP572,FRA,Frankfurt International,Frankfurt,Germany
AP262,CDG,Charles de Gaulle,Paris,France
AP709,SIN,Changi International,Singapore,Singapore
AP487,HKG,Hong Kong International,Hong Kong,China
AP800,DEL,Indira Gandhi International,New Delhi,India
AP567,BOM,Chhatrapati Shivaji,Mumbai,India
AP893,BLR,Kempegowda International,Bengaluru,India
AP651,HYD,Rajiv Gandhi International,Hyderabad,India
AP997,MAA,Chennai International,Chennai,India
AP261,LHR,Heathrow,London,UK
AP654,DXB,Dubai International,Dubai,UAE
AP506,JFK,John F. Kennedy International,New York,USA
AP487,LAX,Los Angeles International,Los Angeles,USA
AP181,FRA,Frankfurt International,Frankfurt,Germany
AP686,CDG,Charles de Gaulle,Paris,France
AP619,SIN,Changi International,Singapore,Singapore
AP240,HKG,Hong Kong International,Hong Kong,China
AP624,DEL,Indira Gandhi International,New Delhi,India
AP435,BOM,Chhatrapati Shivaji,Mumbai,India
AP738,BLR,Kempegowda International,Bengaluru,India
AP125,HYD,Rajiv Gandhi International,Hyderabad,India
AP375,MAA,Chennai International,Chennai,India
AP142,LHR,Heathrow,London,UK
AP528,DXB,Dubai International,Dubai,UAE
AP230,JFK,John F. Kennedy International,New York,USA
AP154,LAX,Los Angeles International,Los Angeles,USA
AP682,FRA,Frankfurt International,Frankfurt,Germany
AP754,CDG,Charles de Gaulle,Paris,France
AP413,SIN,Changi International,Singapore,Singapore
AP982,HKG,Hong Kong International,Hong Kong,China
AP324,DEL,Indira Gandhi International,New Delhi,India
AP917,BOM,Chhatrapati Shivaji,Mumbai,India
AP389,BLR,Kempegowda International,Bengaluru,India
AP217,HYD,Rajiv Gandhi International,Hyderabad,India
AP110,MAA,Chennai International,Chennai,India
AP255,LHR,Heathrow,London,UK
AP946,DXB,Dubai International,Dubai,UAE
AP339,JFK,John F. Kennedy International,New York,USA
AP835,LAX,Los Angeles International,Los Angeles,USA
AP882,FRA,Frankfurt International,Frankfurt,Germany
AP117,CDG,Charles de Gaulle,Paris,France
AP208,SIN,Changi International,Singapore,Singapore
AP902,HKG,Hong Kong International,Hong Kong,China
AP778,DEL,Indira Gandhi International,New Delhi,India
AP300,BOM,Chhatrapati Shivaji,Mumbai,India
AP152,BLR,Kempegowda International,Bengaluru,India
AP859,HYD,Rajiv Gandhi International,Hyderabad,India
AP212,MAA,Chennai International,Chennai,India
AP915,LHR,Heathrow,London,UK
AP171,DXB,Dubai International,Dubai,UAE
AP350,JFK,John F. Kennedy International,New York,USA
AP242,LAX,Los Angeles International,Los Angeles,USA
AP498,FRA,Frankfurt International,Frankfurt,Germany
AP347,CDG,Charles de Gaulle,Paris,France
AP352,SIN,Changi International,Singapore,Singapore
AP712,HKG,Hong Kong International,Hong Kong,China
AP651,DEL,Indira Gandhi International,New Delhi,India
AP665,BOM,Chhatrapati Shivaji,Mumbai,India
AP519,BLR,Kempegowda International,Bengaluru,India
AP627,HYD,Rajiv Gandhi International,Hyderabad,India
AP405,MAA,Chennai International,Chennai,India
AP706,LHR,Heathrow,London,UK
AP517,DXB,Dubai International,Dubai,UAE
AP536,JFK,John F. Kennedy International,New York,USA
AP526,LAX,Los Angeles International,Los Angeles,USA
AP643,FRA,Frankfurt International,Frankfurt,Germany
AP514,CDG,Charles de Gaulle,Paris,France
AP594,SIN,Changi International,Singapore,Singapore
AP305,HKG,Hong Kong International,Hong Kong,China
AP382,DEL,Indira Gandhi International,New Delhi,India
AP852,BOM,Chhatrapati Shivaji,Mumbai,India
AP624,BLR,Kempegowda International,Bengaluru,India
AP227,HYD,Rajiv Gandhi International,Hyderabad,India
AP990,MAA,Chennai International,Chennai,India
AP464,LHR,Heathrow,London,UK
AP801,DXB,Dubai International,Dubai,UAE
AP345,JFK,John F. Kennedy International,New York,USA
AP685,LAX,Los Angeles International,Los Angeles,USA
AP922,FRA,Frankfurt International,Frankfurt,Germany
AP931,CDG,Charles de Gaulle,Paris,France
AP188,SIN,Changi International,Singapore,Singapore
AP287,HKG,Hong Kong International,Hong Kong,China
AP272,DEL,Indira Gandhi International,New Delhi,India
AP183,BOM,Chhatrapati Shivaji,Mumbai,India
AP714,BLR,Kempegowda International,Bengaluru,India
AP114,HYD,Rajiv Gandhi International,Hyderabad,India
AP360,MAA,Chennai International,Chennai,India
AP297,LHR,Heathrow,London,UK
AP815,DXB,Dubai International,Dubai,UAE
AP889,JFK,John F. Kennedy International,New York,USA
AP773,LAX,Los Angeles International,Los Angeles,USA
AP510,FRA,Frankfurt International,Frankfurt,Germany
AP133,CDG,Charles de Gaulle,Paris,France
AP424,SIN,Changi International,Singapore,Singapore
AP529,HKG,Hong Kong International,Hong Kong,China
AP684,DEL,Indira Gandhi International,New Delhi,India
AP156,BOM,Chhatrapati Shivaji,Mumbai,India
AP374,BLR,Kempegowda International,Bengaluru,India
AP877,HYD,Rajiv Gandhi International,Hyderabad,India
AP343,MAA,Chennai International,Chennai,India
AP522,LHR,Heathrow,London,UK
AP907,DXB,Dubai International,Dubai,UAE
AP818,JFK,John F. Kennedy International,New York,USA
AP410,LAX,Los Angeles International,Los Angeles,USA
AP815,FRA,Frankfurt International,Frankfurt,Germany
AP850,CDG,Charles de Gaulle,Paris,France
AP360,SIN,Changi International,Singapore,Singapore
AP363,HKG,Hong Kong International,Hong Kong,China
AP841,DEL,Indira Gandhi International,New Delhi,India
AP869,BOM,Chhatrapati Shivaji,Mumbai,India
AP777,BLR,Kempegowda International,Bengaluru,India
AP930,HYD,Rajiv Gandhi International,Hyderabad,India
AP489,MAA,Chennai International,Chennai,India
AP870,LHR,Heathrow,London,UK
AP731,DXB,Dubai International,Dubai,UAE
AP366,JFK,John F. Kennedy International,New York,USA
AP409,LAX,Los Angeles International,Los Angeles,USA
AP240,FRA,Frankfurt International,Frankfurt,Germany
AP763,CDG,Charles de Gaulle,Paris,France
AP167,SIN,Changi International,Singapore,Singapore
AP832,HKG,Hong Kong International,Hong Kong,China
AP177,DEL,Indira Gandhi International,New Delhi,India
AP114,BOM,Chhatrapati Shivaji,Mumbai,India
AP520,BLR,Kempegowda International,Bengaluru,India
AP553,HYD,Rajiv Gandhi International,Hyderabad,India
AP114,MAA,Chennai International,Chennai,India
AP730,LHR,Heathrow,London,UK
AP725,DXB,Dubai International,Dubai,UAE
AP752,JFK,John F. Kennedy International,New York,USA
AP145,LAX,Los Angeles International,Los Angeles,USA
AP468,FRA,Frankfurt International,Frankfurt,Germany
AP313,CDG,Charles de Gaulle,Paris,France
AP748,SIN,Changi International,Singapore,Singapore
AP984,HKG,Hong Kong International,Hong Kong,China
AP138,DEL,Indira Gandhi International,New Delhi,India
AP334,BOM,Chhatrapati Shivaji,Mumbai,India
AP275,BLR,Kempegowda International,Bengaluru,India
AP519,HYD,Rajiv Gandhi International,Hyderabad,India
AP893,MAA,Chennai International,Chennai,India
AP909,LHR,Heathrow,London,UK
AP741,DXB,Dubai International,Dubai,UAE
AP191,JFK,John F. Kennedy International,New York,USA
AP986,LAX,Los Angeles International,Los Angeles,USA
AP446,FRA,Frankfurt International,Frankfurt,Germany
AP196,CDG,Charles de Gaulle,Paris,France
AP747,SIN,Changi International,Singapore,Singapore
AP668,HKG,Hong Kong International,Hong Kong,China
AP572,DEL,Indira Gandhi International,New Delhi,India
AP205,BOM,Chhatrapati Shivaji,Mumbai,India
AP133,BLR,Kempegowda International,Bengaluru,India
AP363,HYD,Rajiv Gandhi International,Hyderabad,India
AP120,MAA,Chennai International,Chennai,India
AP792,LHR,Heathrow,London,UK
AP950,DXB,Dubai International,Dubai,UAE
AP412,JFK,John F. Kennedy International,New York,USA
AP383,LAX,Los Angeles International,Los Angeles,USA
AP538,FRA,Frankfurt International,Frankfurt,Germany
AP367,CDG,Charles de Gaulle,Paris,France
AP878,SIN,Changi International,Singapore,Singapore
AP876,HKG,Hong Kong International,Hong Kong,China
AP922,DEL,Indira Gandhi International,New Delhi,India
AP510,BOM,Chhatrapati Shivaji,Mumbai,India
AP334,BLR,Kempegowda International,Bengaluru,India
AP644,HYD,Rajiv Gandhi International,Hyderabad,India
AP690,MAA,Chennai International,Chennai,India
AP672,LHR,Heathrow,London,UK
AP693,DXB,Dubai International,Dubai,UAE
AP255,JFK,John F. Kennedy International,New York,USA
AP244,LAX,Los Angeles International,Los Angeles,USA
AP629,FRA,Frankfurt International,Frankfurt,Germany
AP416,CDG,Charles de Gaulle,Paris,France
AP139,SIN,Changi International,Singapore,Singapore
AP167,HKG,Hong Kong International,Hong Kong,China
AP415,DEL,Indira Gandhi International,New Delhi,India
AP845,BOM,Chhatrapati Shivaji,Mumbai,India
AP362,BLR,Kempegowda International,Bengaluru,India
AP855,HYD,Rajiv Gandhi International,Hyderabad,India
AP744,MAA,Chennai International,Chennai,India
AP730,LHR,Heathrow,London,UK
